İL1,İL2,MESAFE
İL PLAKA NO,Unnamed: 1,İL ADI
01,Unnamed: 1,ADANA
02,Unnamed: 1,ADIYAMAN
03,Unnamed: 1,AFYONKARAHİSAR
04,Unnamed: 1,AĞRI
05,Unnamed: 1,AMASYA
06,Unnamed: 1,ANKARA
07,Unnamed: 1,ANTALYA
08,Unnamed: 1,ARTVİN
09,Unnamed: 1,AYDIN
10,Unnamed: 1,BALIKESİR
11,Unnamed: 1,BİLECİK
12,Unnamed: 1,BİNGÖL
13,Unnamed: 1,BİTLİS
14,Unnamed: 1,BOLU
15,Unnamed: 1,BURDUR
16,Unnamed: 1,BURSA
17,Unnamed: 1,ÇANAKKALE
18,Unnamed: 1,ÇANKIRI
19,Unnamed: 1,ÇORUM
20,Unnamed: 1,DENİZLİ
21,Unnamed: 1,DİYARBAKIR
22,Unnamed: 1,EDİRNE
23,Unnamed: 1,ELAZIĞ
24,Unnamed: 1,ERZİNCAN
25,Unnamed: 1,ERZURUM
26,Unnamed: 1,ESKİŞEHİR
27,Unnamed: 1,GAZİANTEP
28,Unnamed: 1,GİRESUN
29,Unnamed: 1,GÜMÜŞHANE
30,Unnamed: 1,HAKKARİ
31,Unnamed: 1,HATAY
32,Unnamed: 1,ISPARTA
33,Unnamed: 1,MERSİN
34,Unnamed: 1,İSTANBUL
35,Unnamed: 1,İZMİR
36,Unnamed: 1,KARS
37,Unnamed: 1,KASTAMONU
38,Unnamed: 1,KAYSERİ
39,Unnamed: 1,KIRKLARELİ
40,Unnamed: 1,KIRŞEHİR
41,Unnamed: 1,KOCAELİ (İZMİT)
42,Unnamed: 1,KONYA
43,Unnamed: 1,KÜTAHYA
44,Unnamed: 1,MALATYA
45,Unnamed: 1,MANİSA
46,Unnamed: 1,KAHRAMANMARAŞ
47,Unnamed: 1,MARDİN
48,Unnamed: 1,MUĞLA
49,Unnamed: 1,MUŞ
50,Unnamed: 1,NEVŞEHİR
51,Unnamed: 1,NİĞDE
52,Unnamed: 1,ORDU
53,Unnamed: 1,RİZE
54,Unnamed: 1,SAKARYA (ADAPAZARI)
55,Unnamed: 1,SAMSUN
56,Unnamed: 1,SİİRT
57,Unnamed: 1,SİNOP
58,Unnamed: 1,SİVAS
59,Unnamed: 1,TEKİRDAĞ
60,Unnamed: 1,TOKAT
61,Unnamed: 1,TRABZON
62,Unnamed: 1,TUNCELİ
63,Unnamed: 1,ŞANLIURFA
64,Unnamed: 1,UŞAK
65,Unnamed: 1,VAN
66,Unnamed: 1,YOZGAT
67,Unnamed: 1,ZONGULDAK
68,Unnamed: 1,AKSARAY
69,Unnamed: 1,BAYBURT
70,Unnamed: 1,KARAMAN
71,Unnamed: 1,KIRIKKALE
72,Unnamed: 1,BATMAN
73,Unnamed: 1,ŞIRNAK
74,Unnamed: 1,BARTIN
75,Unnamed: 1,ARDAHAN
76,Unnamed: 1,IĞDIR
77,Unnamed: 1,YALOVA
78,Unnamed: 1,KARABÜK
79,Unnamed: 1,KİLİS
80,Unnamed: 1,OSMANİYE
81,Unnamed: 1,DÜZCE
İL PLAKA NO,Unnamed: 2,ADANA
02,Unnamed: 2,337
03,Unnamed: 2,578
04,Unnamed: 2,978
05,Unnamed: 2,602
06,Unnamed: 2,491
07,Unnamed: 2,546
08,Unnamed: 2,1001
09,Unnamed: 2,879
10,Unnamed: 2,902
11,Unnamed: 2,785
12,Unnamed: 2,631
13,Unnamed: 2,741
14,Unnamed: 2,688
15,Unnamed: 2,647
16,Unnamed: 2,856
17,Unnamed: 2,1093
18,Unnamed: 2,590
19,Unnamed: 2,582
20,Unnamed: 2,761
21,Unnamed: 2,537
22,Unnamed: 2,1183
23,Unnamed: 2,494
24,Unnamed: 2,676
25,Unnamed: 2,807
26,Unnamed: 2,690
27,Unnamed: 2,216
28,Unnamed: 2,716
29,Unnamed: 2,780
30,Unnamed: 2,906
31,Unnamed: 2,196
32,Unnamed: 2,618
33,Unnamed: 2,70
34,Unnamed: 2,951
35,Unnamed: 2,905
36,Unnamed: 2,1012
37,Unnamed: 2,696
38,Unnamed: 2,335
39,Unnamed: 2,1159
40,Unnamed: 2,376
41,Unnamed: 2,840
42,Unnamed: 2,357
43,Unnamed: 2,675
44,Unnamed: 2,396
45,Unnamed: 2,885
46,Unnamed: 2,197
47,Unnamed: 2,549
48,Unnamed: 2,855
49,Unnamed: 2,741
50,Unnamed: 2,287
51,Unnamed: 2,207
52,Unnamed: 2,707
53,Unnamed: 2,911
54,Unnamed: 2,803
55,Unnamed: 2,753
56,Unnamed: 2,715
57,Unnamed: 2,866
58,Unnamed: 2,428
59,Unnamed: 2,1081
60,Unnamed: 2,492
61,Unnamed: 2,832
62,Unnamed: 2,630
63,Unnamed: 2,354
64,Unnamed: 2,690
65,Unnamed: 2,900
66,Unnamed: 2,489
67,Unnamed: 2,764
68,Unnamed: 2,268
69,Unnamed: 2,801
70,Unnamed: 2,292
71,Unnamed: 2,485
72,Unnamed: 2,628
73,Unnamed: 2,718
74,Unnamed: 2,783
75,Unnamed: 2,1037
76,Unnamed: 2,1076
77,Unnamed: 2,905
78,Unnamed: 2,714
79,Unnamed: 2,251
80,Unnamed: 2,89
81,Unnamed: 2,734
İL PLAKA NO,Unnamed: 3,ADIYAMAN
01,Unnamed: 3,337
03,Unnamed: 3,915
04,Unnamed: 3,647
05,Unnamed: 3,623
06,Unnamed: 3,732
07,Unnamed: 3,884
08,Unnamed: 3,715
09,Unnamed: 3,1217
10,Unnamed: 3,1239
11,Unnamed: 3,1032
12,Unnamed: 3,347
13,Unnamed: 3,410
14,Unnamed: 3,920
15,Unnamed: 3,984
16,Unnamed: 3,1104
17,Unnamed: 3,1383
18,Unnamed: 3,762
