İL1,İL2,MESAFE
ADANA,ADIYAMAN,337
ADANA,AFYONKARAHİSAR,578
ADANA,AĞRI,978
ADANA,AMASYA,602
ADANA,ANKARA,491
ADANA,ANTALYA,546
ADANA,ARTVİN,1001
ADANA,AYDIN,879
ADANA,BALIKESİR,902
ADANA,BİLECİK,785
ADANA,BİNGÖL,631
ADANA,BİTLİS,741
ADANA,BOLU,688
ADANA,BURDUR,647
ADANA,BURSA,856
ADANA,ÇANAKKALE,1093
ADANA,ÇANKIRI,590
ADANA,ÇORUM,582
ADANA,DENİZLİ,761
ADANA,DİYARBAKIR,537
ADANA,EDİRNE,1183
ADANA,ELAZIĞ,494
ADANA,ERZİNCAN,676
ADANA,ERZURUM,807
ADANA,ESKİŞEHİR,690
ADANA,GAZİANTEP,216
ADANA,GİRESUN,716
ADANA,GÜMÜŞHANE,780
ADANA,HAKKARİ,906
ADANA,HATAY,196
ADANA,ISPARTA,618
ADANA,MERSİN,70
ADANA,İSTANBUL,951
ADANA,İZMİR,905
ADANA,KARS,1012
ADANA,KASTAMONU,696
ADANA,KAYSERİ,335
ADANA,KIRKLARELİ,1159
ADANA,KIRŞEHİR,376
ADANA,KOCAELİ (İZMİT),840
ADANA,KONYA,357
ADANA,KÜTAHYA,675
ADANA,MALATYA,396
ADANA,MANİSA,885
ADANA,KAHRAMANMARAŞ,197
ADANA,MARDİN,549
ADANA,MUĞLA,855
ADANA,MUŞ,741
ADANA,NEVŞEHİR,287
ADANA,NİĞDE,207
ADANA,ORDU,707
ADANA,RİZE,911
ADANA,SAKARYA (ADAPAZARI),803
ADANA,SAMSUN,753
ADANA,SİİRT,715
ADANA,SİNOP,866
ADANA,SİVAS,428
ADANA,TEKİRDAĞ,1081
ADANA,TOKAT,492
ADANA,TRABZON,832
ADANA,TUNCELİ,630
ADANA,ŞANLIURFA,354
ADANA,UŞAK,690
ADANA,VAN,900
ADANA,YOZGAT,489
ADANA,ZONGULDAK,764
ADANA,AKSARAY,268
ADANA,BAYBURT,801
ADANA,KARAMAN,292
ADANA,KIRIKKALE,485
ADANA,BATMAN,628
ADANA,ŞIRNAK,718
ADANA,BARTIN,783
ADANA,ARDAHAN,1037
ADANA,IĞDIR,1076
ADANA,YALOVA,905
ADANA,KARABÜK,714
ADANA,KİLİS,251
ADANA,OSMANİYE,89
ADANA,DÜZCE,734
ADIYAMAN,ADANA,337
ADIYAMAN,AFYONKARAHİSAR,915
ADIYAMAN,AĞRI,647
ADIYAMAN,AMASYA,623
ADIYAMAN,ANKARA,732
